time,A_1,course,lat,lot,speed,imuAx,imuAy,imuAz,imuCx,imuCy,imuCz,imuGx,imuGy,imuGz,T_1,P,A_2,Time_Data,NH3,CO,NO,C3H8,C4H10,CH4,H2,C2H5OH,T_3,RH,T_2
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,0.06,-0.01,0.99,20.21,13.48,58.3,-3.3,2.1,0.97,1980.0,67888.0,3252.32,132.165,0.01,0.0501,0.0034000000000000002,10.1404,6.4911,10.3422,0.009000000000000001,0.019299999999999998,19.43,74.86,20.75
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,-0.04,-0.17,1.11,20.8,12.89,58.59,-3.66,-1.42,1.43,2020.0,67897.0,3251.29,156.481,0.0086,0.044500000000000005,0.0034999999999999996,8.1372,5.3847000000000005,6.6707,0.0075,0.0165,19.85,74.13,21.0
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,-0.06,-0.06,1.15,19.92,13.18,58.3,-4.46,-0.4,1.34,2050.0,67816.0,3260.61,181.155,0.0077,0.0417,0.0036,6.872999999999999,4.6655,5.2334000000000005,0.0068000000000000005,0.0152,20.23,73.39,21.37
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,0.07,-0.09,1.17,21.39,12.6,58.59,-0.48,2.49,0.85,2080.0,67942.0,3246.11,205.694,0.0068000000000000005,0.039,0.0037,5.7016,3.9811,4.0886000000000005,0.0060999999999999995,0.0139,20.6,72.53,21.75
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,-0.01,0.06,0.88,20.51,12.3,58.01,-7.8,2.27,-0.08,2110.0,67966.0,3243.35,229.993,0.0062,0.038,0.0039000000000000003,4.9565,3.5347000000000004,3.7137000000000002,0.0059,0.0134,20.93,71.8,22.0
14:02:59,-203.4,21.21,6.225048,-75.285331,85.7,0.11,-0.09,1.19,20.8,12.3,58.59,0.69,1.62,1.37,2140.0,67875.0,3253.82,254.681,0.005699999999999999,0.0368,0.0039000000000000003,4.3638,3.1724,3.3057,0.005600000000000001,0.0129,21.25,71.02,22.37
14:05:25,3446.8,61.33,6.262734,-75.166738,166.62,0.03,-0.02,0.68,20.51,12.3,58.59,-4.22,3.58,2.33,2170.0,67906.0,3250.25,278.197,0.0052,0.0359,0.004,3.8084,2.8261000000000003,2.9976,0.0054,0.0124,21.57,70.22,22.62
14:05:49,3443.4,60.83,6.2718050000000005,-75.15050600000001,166.28,0.01,-0.04,0.87,20.8,12.01,59.47,-5.78,1.97,1.21,2200.0,67925.0,3248.06,301.94,0.0048,0.0349,0.0040999999999999995,3.3986,2.5657,2.7161,0.0052,0.012,21.85,69.42,23.0
14:06:12,3448.4,60.25,6.280354,-75.134919,165.61,-0.03,-0.11,0.85,21.09,12.3,58.01,-3.62,-0.56,1.24,2230.0,67909.0,3249.9,325.308,0.0045000000000000005,0.0345,0.0043,3.0672,2.3516999999999997,2.6104000000000003,0.0051,0.0118,22.12,68.65,23.12
14:06:36,3435.6,59.33,6.289755,-75.11890600000001,168.71,0.12,-0.07,1.11,20.21,12.3,59.18,-1.91,0.12,0.09,2250.0,67936.0,3246.8,349.157,0.0042,0.034,0.0043,2.7986,2.1756,2.459,0.0049,0.0116,22.39,67.9,23.37
14:07:00,3424.1,60.6,6.2992300000000006,-75.102663,167.55,0.04,0.02,0.77,20.51,12.6,58.3,-5.68,0.1,-0.98,2280.0,67948.0,3245.42,372.925,0.004,0.0336,0.0044,2.555,2.0138,2.3625,0.0049,0.011399999999999999,22.64,67.31,23.62
14:07:23,3433.2,60.6,6.307997,-75.086963,169.13,0.01,-0.15,1.21,20.51,12.01,58.59,-1.53,0.53,1.02,2300.0,67987.0,3240.93,396.293,0.0038,0.0333,0.0044,2.3338,1.8647,2.2695,0.0048,0.0113,22.84,66.8,23.87
14:07:47,3418.7,62.0,6.317113,-75.070419,169.24,0.01,0.05,0.88,21.09,11.72,58.59,-5.33,-0.46,-0.13,2320.0,67989.0,3240.7,420.141,0.0036,0.0331,0.0045000000000000005,2.1758,1.7569,2.2241999999999997,0.004699999999999999,0.011200000000000002,23.07,66.29,24.12
14:08:11,3420.0,60.97,6.326085,-75.053881,168.12,0.06,-0.21,1.29,19.92,12.6,58.3,-1.05,0.76,1.25,2340.0,67972.0,3242.66,443.892,0.0034000000000000002,0.0329,0.0046,2.0288999999999997,1.6557,2.1797999999999997,0.004699999999999999,0.0111,23.28,65.74,24.25
14:08:34,3431.8,60.93,6.334725,-75.03846300000001,164.12,0.06,0.16,0.76,21.09,11.43,57.71,-6.71,1.79,0.33,2360.0,67822.0,3259.92,467.258,0.0032,0.0322,0.0046,1.8551,1.5345,2.0101,0.0046,0.0108,23.48,65.16,24.5
14:08:58,3441.1,59.98,6.343891999999999,-75.0225,165.5,-0.03,-0.06,0.88,20.51,12.89,58.01,-3.62,-1.07,0.73,2380.0,67861.0,3255.43,491.122,0.0031,0.032400000000000005,0.0048,1.7479,1.4588999999999999,2.0513,0.0046,0.0109,23.66,64.64,24.62
14:09:22,3427.5,61.18,6.352812,-75.00635,165.65,0.17,0.01,0.85,21.09,12.01,56.84,-5.59,3.36,0.06,2390.0,67888.0,3252.32,514.871,0.003,0.032,0.0048,1.6471,1.3871,1.9694999999999998,0.0045000000000000005,0.010700000000000001,23.82,64.19,24.87
14:09:45,3418.6,60.69,6.361068,-74.990988,162.47,0.04,-0.13,1.28,20.51,11.72,57.42,1.12,0.1,0.4,2410.0,67819.0,3260.27,538.234,0.0029,0.0317,0.0049,1.537,1.308,1.8906999999999998,0.0044,0.0106,24.0,63.72,25.0
14:10:09,3409.5,59.38,6.370182,-74.975144,164.21,-0.03,0.07,0.57,20.51,12.3,57.71,-6.94,3.14,-0.4,2430.0,67866.0,3254.86,562.097,0.0028000000000000004,0.032,0.0049,1.4922,1.2755,1.9694999999999998,0.0045000000000000005,0.010700000000000001,24.14,63.3,25.25
14:10:33,3414.3,59.98,6.379365,-74.959413,161.54,-0.02,0.15,0.61,21.39,12.01,58.3,-6.38,2.94,0.5,2440.0,67804.0,3262.0,585.837,0.0027,0.0317,0.005,1.3925999999999998,1.2028,1.8906999999999998,0.0044,0.0106,24.3,62.88,25.37
14:10:56,3441.9,60.69,6.387708,-74.9443,160.28,0.07,-0.03,1.16,20.51,12.01,57.13,-2.04,-0.31,0.53,2460.0,67764.0,3266.61,609.198,0.0026,0.0317,0.005,1.3388,1.1633,1.8906999999999998,0.0044,0.0106,24.47,62.43,25.5
14:11:20,3454.7,57.72,6.396828,-74.92885,160.81,0.15,-0.12,1.02,21.68,12.89,58.3,-1.31,0.5,0.42,2470.0,67755.0,3267.65,633.079,0.0025,0.0315,0.0052,1.2744,1.1156,1.8524,0.0044,0.0105,24.59,62.0,25.62
14:11:44,3431.6,56.74,6.406691,-74.913688,163.55,-0.11,0.07,0.98,20.8,12.89,57.71,-6.99,0.33,-1.73,2480.0,67874.0,3253.93,656.827,0.0025,0.0317,0.0052,1.2252,1.0789,1.8906999999999998,0.0044,0.0106,24.73,61.63,25.75
14:12:07,3419.2,57.43,6.4161019999999995,-74.898931,164.74,0.12,-0.05,1.15,20.8,13.18,57.42,-0.72,0.57,1.99,2500.0,67933.0,3247.14,680.176,0.0024,0.0313,0.0053,1.1663,1.0347,1.8148,0.0044,0.0104,24.87,61.26,25.87
14:12:31,3433.0,59.01,6.4257599999999995,-74.88333100000001,162.95,0.09,-0.21,1.43,20.51,12.3,58.3,-0.72,0.72,0.62,2510.0,67899.0,3251.06,704.031,0.0023,0.0313,0.0053,1.1213,1.0007,1.8148,0.0044,0.0104,25.0,60.89,26.0
14:12:55,3441.8,62.66,6.434471,-74.8673,163.11,0.04,-0.09,1.13,21.39,11.13,57.42,0.34,1.3,0.64,2520.0,67914.0,3249.33,727.786,0.0023,0.0313,0.0054,1.078,0.9678,1.8148,0.0044,0.0104,25.11,60.49,26.12
14:13:18,3439.1,61.55,6.442532,-74.851938,161.03,0.11,0.02,1.01,21.09,11.72,58.01,-2.75,2.72,0.99,2530.0,67865.0,3254.97,751.083,0.0022,0.0311,0.0054,1.0364,0.9359999999999999,1.7778999999999998,0.0043,0.0103,25.23,60.11,26.25
14:13:42,3424.3,62.26,6.4513169999999995,-74.836063,162.65,0.05,-0.12,1.1,20.8,11.72,57.71,-6.6,0.79,0.08,2550.0,67919.0,3248.75,775.002,0.0021,0.031,0.0054,0.9963,0.9052,1.7416,0.0043,0.0103,25.34,59.76,26.37
14:14:06,3412.5,65.43,6.459233,-74.819819,161.74,-0.04,0.02,0.74,21.68,11.43,58.01,-6.71,-0.31,0.6,2560.0,67924.0,3248.18,798.757,0.0021,0.031,0.005600000000000001,0.9673,0.8826999999999999,1.7416,0.0043,0.0103,25.44,59.44,26.37
14:14:29,3435.1,63.0,6.46665,-74.804163,161.57,-0.01,-0.14,1.13,21.09,11.72,57.13,-5.15,1.16,1.11,2570.0,67900.0,3250.94,822.057,0.002,0.031,0.005600000000000001,0.9299,0.8536,1.7416,0.0043,0.0103,25.54,59.09,26.62
14:14:53,3441.7,59.33,6.4754,-74.788375,161.75,0.04,-0.05,0.73,20.51,12.6,58.3,-3.36,1.62,0.89,2580.0,67913.0,3249.44,845.974,0.002,0.0308,0.005699999999999999,0.9027,0.8325,1.706,0.0043,0.0102,25.64,58.77,26.75
14:15:17,3427.0,61.61,6.48451,-74.772706,160.65,0.04,-0.06,0.97,20.51,12.01,58.01,-3.8,1.42,0.32,2590.0,67905.0,3250.36,869.73,0.002,0.031,0.005699999999999999,0.8764,0.8118000000000001,1.7416,0.0043,0.0103,25.76,58.48,26.75
14:15:40,3421.7,62.11,6.492577,-74.757375,164.8,-0.02,0.02,0.58,20.51,11.43,57.71,-5.17,3.49,-0.28,2600.0,67954.0,3244.73,893.084,0.0019,0.0308,0.005699999999999999,0.8508,0.7916,1.706,0.0043,0.0102,25.84,58.15,26.87
14:16:04,3431.1,66.38,6.500645,-74.74109399999999,163.94,-0.05,-0.03,0.69,21.68,11.13,57.71,-6.32,0.14,-0.02,2600.0,67976.0,3242.2,916.959,0.0019,0.0308,0.0058,0.8259000000000001,0.7719,1.706,0.0043,0.0102,25.93,57.89,27.0
14:16:28,3434.2,63.0,6.508353,-74.724744,162.39,-0.07,-0.07,1.15,20.51,12.01,57.71,-1.83,0.73,0.75,2610.0,67930.0,3247.49,940.698,0.0019,0.031,0.0058,0.8098000000000001,0.7591,1.7416,0.0043,0.0103,26.03,57.59,27.12
14:16:51,3416.6,60.71,6.516593,-74.709456,162.09,0.06,-0.0,0.88,20.51,12.01,57.71,-7.46,-0.24,-1.27,2620.0,67971.0,3242.77,964.047,0.0018,0.031,0.0058,0.7861,0.7402,1.7416,0.0043,0.0103,26.11,57.36,27.0
14:17:15,3399.6,60.94,6.52538,-74.693475,163.9,0.08,0.1,1.07,20.8,12.3,57.13,-3.59,-1.06,0.85,2630.0,68032.0,3235.76,987.93,0.0018,0.030600000000000002,0.006,0.763,0.7217,1.6711,0.0042,0.0101,26.16,57.08,27.25
14:17:39,3411.6,61.0,6.534244999999999,-74.67751899999999,163.35,0.06,-0.01,0.9,21.09,13.18,58.59,-0.3,1.09,-1.02,2640.0,68051.0,3233.58,1011.684,0.0017000000000000001,0.0305,0.006,0.7333,0.6978,1.6368,0.0042,0.01,26.26,56.85,27.25
14:18:02,3426.0,59.19,6.542782,-74.662244,161.5,0.15,-0.08,1.16,20.8,12.3,56.84,-3.66,0.9,-0.36,2640.0,67979.0,3241.85,1035.025,0.0017000000000000001,0.0305,0.0060999999999999995,0.7189,0.6861,1.6368,0.0042,0.01,26.33,56.61,27.37
14:18:26,3423.4,56.4,6.552615,-74.64689399999999,162.99,0.08,0.0,1.3,20.21,13.48,57.42,-2.14,-0.32,1.73,2650.0,67995.0,3240.01,1058.899,0.0017000000000000001,0.030600000000000002,0.0060999999999999995,0.7118000000000001,0.6804000000000001,1.6711,0.0042,0.0101,26.43,56.44,27.5
14:18:50,3446.1,56.13,6.562663000000001,-74.631844,163.17,0.12,-0.17,1.34,20.51,14.06,58.3,-0.28,0.14,0.29,2660.0,68037.0,3235.18,1082.639,0.0017000000000000001,0.030299999999999997,0.0060999999999999995,0.6840999999999999,0.6578,1.6032,0.0040999999999999995,0.01,26.53,56.2,27.5
14:19:13,3425.0,57.59,6.572323,-74.61725,161.62,0.03,-0.01,1.18,20.51,13.48,57.71,-0.91,1.17,2.2,2670.0,68023.0,3236.79,1105.992,0.0016,0.0301,0.0062,0.6639,0.6413,1.5702,0.0040999999999999995,0.009899999999999999,26.59,55.93,27.62
14:19:37,3418.1,61.84,6.581392999999999,-74.601538,161.44,0.1,-0.06,1.22,20.21,12.01,56.54,-4.52,-1.49,-0.12,2680.0,68047.0,3234.03,1129.886,0.0016,0.0301,0.0062,0.6507999999999999,0.6305,1.5702,0.0040999999999999995,0.009899999999999999,26.69,55.76,27.75
14:20:01,3431.9,64.53,6.589478,-74.585256,163.89,0.13,0.06,0.92,20.51,11.72,57.13,0.3,2.33,0.43,2680.0,68054.0,3233.23,1153.622,0.0016,0.0301,0.0062,0.6379,0.6199,1.5702,0.004,0.0096,26.78,55.52,27.87
14:20:24,3374.7,64.54,6.596941,-74.568919,170.55,-0.13,0.08,0.54,20.51,11.72,56.84,-4.77,0.18,2.43,2690.0,68469.0,3185.66,1176.969,0.0016,0.0301,0.0064,0.6253,0.6095,1.5702,0.0040999999999999995,0.009899999999999999,26.87,55.35,27.87
14:20:48,3309.7,64.14,6.605395,-74.551375,174.36,0.08,-0.05,1.07,20.8,11.72,57.13,-1.04,4.23,2.45,2700.0,68922.0,3134.01,1200.848,0.0015,0.0298,0.0064,0.6129,0.5992000000000001,1.506,0.004,0.0097,26.97,55.2,27.87
14:21:12,3264.8,61.38,6.614323,-74.534219,172.65,-0.03,-0.02,0.9,21.09,12.6,57.13,-3.81,1.89,1.97,2700.0,69212.0,3101.08,1224.597,0.0015,0.0301,0.0064,0.6068,0.5942000000000001,1.5702,0.0040999999999999995,0.009899999999999999,27.04,55.02,27.87
